SampleID,fastq1,fastq2
TMS6S2,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/24-TMS6S2_S7524-S7724_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/24-TMS6S2_S7524-S7724_R2.fastq.gz
TMS5S2,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/23-TMS5S2_S7523-S7723_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/23-TMS5S2_S7523-S7723_R2.fastq.gz
TMS4S2,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/22-TMS4S2_S7522-S7722_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/22-TMS4S2_S7522-S7722_R2.fastq.gz
TMS3S2,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/21-TMS3S2_S7521-S7721_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/21-TMS3S2_S7521-S7721_R2.fastq.gz
TMS2S2,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/20-TMS2S2_S7520-S7720_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/20-TMS2S2_S7520-S7720_R2.fastq.gz
TMS1S2,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/19-TMS1S2_S7519-S7719_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/19-TMS1S2_S7519-S7719_R2.fastq.gz
TMS6H3,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/18-TMS6H3_S7518-S7718_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/18-TMS6H3_S7518-S7718_R2.fastq.gz
TMS5H3,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/17-TMS5H3_S7517-S7717_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/17-TMS5H3_S7517-S7717_R2.fastq.gz
TMS4H3,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/16-TMS4H3_S7516-S7716_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/16-TMS4H3_S7516-S7716_R2.fastq.gz
TMS3H3,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/15-TMS3H3_S7515-S7715_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/15-TMS3H3_S7515-S7715_R2.fastq.gz
TMS2H3,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/14-TMS2H3_S7514-S7714_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/14-TMS2H3_S7514-S7714_R2.fastq.gz
TMS1H3,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/13-TMS1H3_S7513-S7713_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/13-TMS1H3_S7513-S7713_R2.fastq.gz
TMS6H2,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/12-TMS6H2_S7512-S7712_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/12-TMS6H2_S7512-S7712_R2.fastq.gz
TMS5H2,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/11-TMS5H2_S7511-S7711_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/11-TMS5H2_S7511-S7711_R2.fastq.gz
TMS4H2,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/10-TMS4H2_S7510-S7710_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/10-TMS4H2_S7510-S7710_R2.fastq.gz
TMS3H2,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/9-TMS3H2_S7509-S7709_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/9-TMS3H2_S7509-S7709_R2.fastq.gz
TMS2H2,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/smallsize/8-TMS2H2_S7508-S7708_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/smallsize/8-TMS2H2_S7508-S7708_R2.fastq.gz
TMS1H2,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/7-TMS1H2_S7507-S7707_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/7-TMS1H2_S7507-S7707_R2.fastq.gz
TMS6H1,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/6-TMS6H1_S7506-S7706_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/6-TMS6H1_S7506-S7706_R2.fastq.gz
TMS5H1,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/5-TMS5H1_S7505-S7705_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/5-TMS5H1_S7505-S7705_R2.fastq.gz
TMS4H1,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/4-TMS4H1_S7504-S7704_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7212/zatm/4-TMS4H1_S7504-S7704_R2.fastq.gz
