SampleID,FASTQ1,FASTQ2
13-ST7BCDMR__S7576-S7776,/mnt/GS-BACKUP05/FASTQ/2025/R7381/0/smallsize/13-ST7BCDMR__S7576-S7776_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7381/0/smallsize/13-ST7BCDMR__S7576-S7776_R2.fastq.gz
24-ST8BCDMR__S7587-S7787,/mnt/GS-BACKUP05/FASTQ/2025/R7381/100/smallsize/24-ST8BCDMR__S7587-S7787_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7381/100/smallsize/24-ST8BCDMR__S7587-S7787_R2.fastq.gz
16-ST7BCDMR__S7579-S7779,/mnt/GS-BACKUP05/FASTQ/2025/R7381/10/smallsize/16-ST7BCDMR__S7579-S7779_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7381/10/smallsize/16-ST7BCDMR__S7579-S7779_R2.fastq.gz
22-ST8BCDMR__S7585-S7785,/mnt/GS-BACKUP05/FASTQ/2025/R7381/10/smallsize/22-ST8BCDMR__S7585-S7785_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7381/10/smallsize/22-ST8BCDMR__S7585-S7785_R2.fastq.gz
14-ST7BCDMR__S7577-S7777,/mnt/GS-BACKUP05/FASTQ/2025/R7381/1/smallsize/14-ST7BCDMR__S7577-S7777_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7381/1/smallsize/14-ST7BCDMR__S7577-S7777_R2.fastq.gz
20-ST8BCDMR__S7583-S7783,/mnt/GS-BACKUP05/FASTQ/2025/R7381/1/smallsize/20-ST8BCDMR__S7583-S7783_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7381/1/smallsize/20-ST8BCDMR__S7583-S7783_R2.fastq.gz
23-ST8BCDMR__S7586-S7786,/mnt/GS-BACKUP05/FASTQ/2025/R7381/50/smallsize/23-ST8BCDMR__S7586-S7786_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7381/50/smallsize/23-ST8BCDMR__S7586-S7786_R2.fastq.gz
12-ST2BCDMR__S7516-S7716,/mnt/GS-BACKUP05/FASTQ/2025/R7400/100/smallsize/12-ST2BCDMR__S7516-S7716_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7400/100/smallsize/12-ST2BCDMR__S7516-S7716_R2.fastq.gz
24-ST12BCDMR__S7528-S7728,/mnt/GS-BACKUP05/FASTQ/2025/R7400/100/smallsize/24-ST12BCDMR__S7528-S7728_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7400/100/smallsize/24-ST12BCDMR__S7528-S7728_R2.fastq.gz
2-ST1BCDMR__S7502-S7702,/mnt/GS-BACKUP05/FASTQ/2025/R7400/1/smallsize/2-ST1BCDMR__S7502-S7702_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7400/1/smallsize/2-ST1BCDMR__S7502-S7702_R2.fastq.gz
