SampleID,FASTQ1,FASTQ2
10-TMPC6S3_S7541-S7741,/mnt/FASTQ/2025_2/R7512/zatm/10-TMPC6S3_S7541-S7741_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/10-TMPC6S3_S7541-S7741_R2.fastq.gz
11-TMPC6S4_S7542-S7742,/mnt/FASTQ/2025_2/R7512/zatm/11-TMPC6S4_S7542-S7742_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/11-TMPC6S4_S7542-S7742_R2.fastq.gz
12-TMPC6S5_S7543-S7743,/mnt/FASTQ/2025_2/R7512/zatm/12-TMPC6S5_S7543-S7743_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/12-TMPC6S5_S7543-S7743_R2.fastq.gz
13-TMPC6S6_S7544-S7744,/mnt/FASTQ/2025_2/R7512/zatm/13-TMPC6S6_S7544-S7744_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/13-TMPC6S6_S7544-S7744_R2.fastq.gz
14-TMPC6S7_S7545-S7745,/mnt/FASTQ/2025_2/R7512/zatm/14-TMPC6S7_S7545-S7745_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/14-TMPC6S7_S7545-S7745_R2.fastq.gz
15-TMH3S1_S7546-S7746,/mnt/FASTQ/2025_2/R7512/zatm/15-TMH3S1_S7546-S7746_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/15-TMH3S1_S7546-S7746_R2.fastq.gz
16-TMH3S2_S7547-S7747,/mnt/FASTQ/2025_2/R7512/zatm/16-TMH3S2_S7547-S7747_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/16-TMH3S2_S7547-S7747_R2.fastq.gz
17-TMH3S3_S7548-S7748,/mnt/FASTQ/2025_2/R7512/zatm/17-TMH3S3_S7548-S7748_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/17-TMH3S3_S7548-S7748_R2.fastq.gz
18-TMH3S4_S7549-S7749,/mnt/FASTQ/2025_2/R7512/zatm/18-TMH3S4_S7549-S7749_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/18-TMH3S4_S7549-S7749_R2.fastq.gz
1-TMPC5S1_S7525-S7725,/mnt/FASTQ/2025_2/R7512/zatm/1-TMPC5S1_S7525-S7725_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/1-TMPC5S1_S7525-S7725_R2.fastq.gz
21-TMH3S7_S7552-S7752,/mnt/FASTQ/2025_2/R7512/zatm/21-TMH3S7_S7552-S7752_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/21-TMH3S7_S7552-S7752_R2.fastq.gz
2-TMPC5S2_S7526-S7726,/mnt/FASTQ/2025_2/R7512/zatm/2-TMPC5S2_S7526-S7726_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/2-TMPC5S2_S7526-S7726_R2.fastq.gz
5-TMPC5S5_S7529-S7729,/mnt/FASTQ/2025_2/R7512/zatm/5-TMPC5S5_S7529-S7729_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/5-TMPC5S5_S7529-S7729_R2.fastq.gz
7-TMPC5S7_S7531-S7731,/mnt/FASTQ/2025_2/R7512/zatm/7-TMPC5S7_S7531-S7731_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/7-TMPC5S7_S7531-S7731_R2.fastq.gz
8-TMPC6S1_S7539-S7739,/mnt/FASTQ/2025_2/R7512/zatm/8-TMPC6S1_S7539-S7739_R1.fastq.gz,/mnt/FASTQ/2025_2/R7512/zatm/8-TMPC6S1_S7539-S7739_R2.fastq.gz
