SampleID,FASTQ1,FASTQ2
10-TMPL2S5_S7518-S7718,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/10-TMPL2S5_S7518-S7718_R1.fastq.gz,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/10-TMPL2S5_S7518-S7718_R2.fastq.gz
11-TMPL3S1_S7519-S7719,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/11-TMPL3S1_S7519-S7719_R1.fastq.gz,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/11-TMPL3S1_S7519-S7719_R2.fastq.gz
12-TMPL3S2_S7520-S7720,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/12-TMPL3S2_S7520-S7720_R1.fastq.gz,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/12-TMPL3S2_S7520-S7720_R2.fastq.gz
13-TMPL3S3_S7521-S7721,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/13-TMPL3S3_S7521-S7721_R1.fastq.gz,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/13-TMPL3S3_S7521-S7721_R2.fastq.gz
14-TMPL3S4_S7522-S7722,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/14-TMPL3S4_S7522-S7722_R1.fastq.gz,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/14-TMPL3S4_S7522-S7722_R2.fastq.gz
15-TMPL3S5_S7523-S7723,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/15-TMPL3S5_S7523-S7723_R1.fastq.gz,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/15-TMPL3S5_S7523-S7723_R2.fastq.gz
16-TMPL4S1_S7524-S7724,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/16-TMPL4S1_S7524-S7724_R1.fastq.gz,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/16-TMPL4S1_S7524-S7724_R2.fastq.gz
17-TMPL4S2_S7525-S7725,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/17-TMPL4S2_S7525-S7725_R1.fastq.gz,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/17-TMPL4S2_S7525-S7725_R2.fastq.gz
18-TMPL4S3_S7526-S7726,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/18-TMPL4S3_S7526-S7726_R1.fastq.gz,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/18-TMPL4S3_S7526-S7726_R2.fastq.gz
19-TMPL4S4_S7527-S7727,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/19-TMPL4S4_S7527-S7727_R1.fastq.gz,/media/hieunguyen/HNHD01/raw_data/amplicon_methyl_with_UMI/R7312/19-TMPL4S4_S7527-S7727_R2.fastq.gz
