SampleID,fastq1,fastq2
TMS3S7CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/56-TMS3S7CF_S7578-S7778_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/56-TMS3S7CF_S7578-S7778_R2.fastq.gz
TMS3S6CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/55-TMS3S6CF_S7577-S7777_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/55-TMS3S6CF_S7577-S7777_R2.fastq.gz
TMS3S5CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/54-TMS3S5CF_S7576-S7776_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/54-TMS3S5CF_S7576-S7776_R2.fastq.gz
TMS3S4CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/53-TMS3S4CF_S7575-S7775_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/53-TMS3S4CF_S7575-S7775_R2.fastq.gz
TMS3S3CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/52-TMS3S3CF_S7588-S7788_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/52-TMS3S3CF_S7588-S7788_R2.fastq.gz
TMS3S2CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/51-TMS3S2CF_S7587-S7787_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/51-TMS3S2CF_S7587-S7787_R2.fastq.gz
TMS3S1CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/50-TMS3S1CF_S7586-S7786_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/50-TMS3S1CF_S7586-S7786_R2.fastq.gz
TMS2S7CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/49-TMS2S7CF_S7585-S7785_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/49-TMS2S7CF_S7585-S7785_R2.fastq.gz
TMS2S6CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/48-TMS2S6CF_S7548-S7748_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/48-TMS2S6CF_S7548-S7748_R2.fastq.gz
TMS2S5CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/47-TMS2S5CF_S7547-S7747_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/47-TMS2S5CF_S7547-S7747_R2.fastq.gz
TMS2S4CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/46-TMS2S4CF_S7546-S7746_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/46-TMS2S4CF_S7546-S7746_R2.fastq.gz
TMS2S3CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/45-TMS2S3CF_S7545-S7745_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/45-TMS2S3CF_S7545-S7745_R2.fastq.gz
TMS2S2CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/44-TMS2S2CF_S7544-S7744_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/44-TMS2S2CF_S7544-S7744_R2.fastq.gz
TMS2S1CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/43-TMS2S1CF_S7543-S7743_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/43-TMS2S1CF_S7543-S7743_R2.fastq.gz
TMS1S7CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/42-TMS1S7CF_S7542-S7742_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/42-TMS1S7CF_S7542-S7742_R2.fastq.gz
TMS1S6CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/41-TMS1S6CF_S7541-S7741_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/41-TMS1S6CF_S7541-S7741_R2.fastq.gz
TMS1S5CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/40-TMS1S5CF_S7540-S7740_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/40-TMS1S5CF_S7540-S7740_R2.fastq.gz
TMS1S4CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/39-TMS1S4CF_S7539-S7739_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/39-TMS1S4CF_S7539-S7739_R2.fastq.gz
TMS1S3CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/38-TMS1S3CF_S7538-S7738_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/38-TMS1S3CF_S7538-S7738_R2.fastq.gz
TMS1S2CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/37-TMS1S2CF_S7537-S7737_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/37-TMS1S2CF_S7537-S7737_R2.fastq.gz
TMS1S1CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/36-TMS1S1CF_S7536-S7736_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/36-TMS1S1CF_S7536-S7736_R2.fastq.gz
TMH5S7CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/smallsize/35-TMH5S7CF_S7535-S7735_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/smallsize/35-TMH5S7CF_S7535-S7735_R2.fastq.gz
TMH5S6CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/34-TMH5S6CF_S7534-S7734_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/34-TMH5S6CF_S7534-S7734_R2.fastq.gz
TMH5S5CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/33-TMH5S5CF_S7533-S7733_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/33-TMH5S5CF_S7533-S7733_R2.fastq.gz
TMH5S4CF,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/32-TMH5S4CF_S7532-S7732_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7249/zatm/32-TMH5S4CF_S7532-S7732_R2.fastq.gz
