SampleID,fastq1,fastq2
TMM9P2I2S7,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/58-TMM9P2I2S7_S7542-S7742_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/58-TMM9P2I2S7_S7542-S7742_R2.fastq.gz
TMM9P2I2S6,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/57-TMM9P2I2S6_S7541-S7741_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/57-TMM9P2I2S6_S7541-S7741_R2.fastq.gz
TMM9P2I2S5,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/56-TMM9P2I2S5_S7540-S7740_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/56-TMM9P2I2S5_S7540-S7740_R2.fastq.gz
TMM9P2I2S4,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/55-TMM9P2I2S4_S7539-S7739_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/55-TMM9P2I2S4_S7539-S7739_R2.fastq.gz
TMM9P2I2S3,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/54-TMM9P2I2S3_S7538-S7738_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/54-TMM9P2I2S3_S7538-S7738_R2.fastq.gz
TMM9P2I2S2,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/53-TMM9P2I2S2_S7537-S7737_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/53-TMM9P2I2S2_S7537-S7737_R2.fastq.gz
TMM9P2I2S1,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/52-TMM9P2I2S1_S7536-S7736_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/52-TMM9P2I2S1_S7536-S7736_R2.fastq.gz
TMM8P2I2S7,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/51-TMM8P2I2S7_S7535-S7735_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/51-TMM8P2I2S7_S7535-S7735_R2.fastq.gz
TMM8P2I2S6,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/50-TMM8P2I2S6_S7534-S7734_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/50-TMM8P2I2S6_S7534-S7734_R2.fastq.gz
TMM8P2I2S5,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/49-TMM8P2I2S5_S7533-S7733_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/49-TMM8P2I2S5_S7533-S7733_R2.fastq.gz
TMM8P2I2S4,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/48-TMM8P2I2S4_S7532-S7732_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/48-TMM8P2I2S4_S7532-S7732_R2.fastq.gz
TMM8P2I2S3,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/47-TMM8P2I2S3_S7531-S7731_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/47-TMM8P2I2S3_S7531-S7731_R2.fastq.gz
TMM8P2I2S2,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/46-TMM8P2I2S2_S7530-S7730_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/46-TMM8P2I2S2_S7530-S7730_R2.fastq.gz
TMM8P2I2S1,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/45-TMM8P2I2S1_S7529-S7729_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/45-TMM8P2I2S1_S7529-S7729_R2.fastq.gz
TMM4P3I2S7,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/44-TMM4P3I2S7_S7528-S7728_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/44-TMM4P3I2S7_S7528-S7728_R2.fastq.gz
TMM4P3I2S6,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/43-TMM4P3I2S6_S7527-S7727_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/43-TMM4P3I2S6_S7527-S7727_R2.fastq.gz
TMM4P3I2S5,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/42-TMM4P3I2S5_S7526-S7726_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/42-TMM4P3I2S5_S7526-S7726_R2.fastq.gz
TMM4P3I2S4,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/41-TMM4P3I2S4_S7525-S7725_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/41-TMM4P3I2S4_S7525-S7725_R2.fastq.gz
TMM4P3I2S3,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/40-TMM4P3I2S3_S7524-S7724_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/40-TMM4P3I2S3_S7524-S7724_R2.fastq.gz
TMM4P3I2S2,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/39-TMM4P3I2S2_S7523-S7723_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/39-TMM4P3I2S2_S7523-S7723_R2.fastq.gz
TMM4P3I2S1,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/38-TMM4P3I2S1_S7522-S7722_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/38-TMM4P3I2S1_S7522-S7722_R2.fastq.gz
TMM9P2I1S7,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/37-TMM9P2I1S7_S7521-S7721_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/37-TMM9P2I1S7_S7521-S7721_R2.fastq.gz
TMM9P2I1S6,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/36-TMM9P2I1S6_S7520-S7720_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/36-TMM9P2I1S6_S7520-S7720_R2.fastq.gz
TMM9P2I1S5,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/35-TMM9P2I1S5_S7519-S7719_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/35-TMM9P2I1S5_S7519-S7719_R2.fastq.gz
TMM9P2I1S4,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/34-TMM9P2I1S4_S7518-S7718_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/34-TMM9P2I1S4_S7518-S7718_R2.fastq.gz
TMM9P2I1S3,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/smallsize/33-TMM9P2I1S3_S7517-S7717_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/smallsize/33-TMM9P2I1S3_S7517-S7717_R2.fastq.gz
TMM9P2I1S2,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/smallsize/32-TMM9P2I1S2_S7516-S7716_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7057/zatm/smallsize/32-TMM9P2I1S2_S7516-S7716_R2.fastq.gz
